MEDIAN	SYMBOL
4021	FLJ10849
831	FLJ10849
3668	BBS4
3270	PPP1R2
1664	PPP1R2
3302	MCLC
3788
4103	PPIL2
2049	FLJ10512
331	FLJ10512
3873	DHODH
1225	MYO7A
1249	BART1
73	FRDA
2606	SUPT3H
1230
3359	YY1
320	RRBP1
49	MRPS12
223	MRPS12
244	VDU1
53	ZNF187
145	PAXIP1L
683	KIAA0561
266	CYHR1
595	LOC157542
105	IL10RB
790	IL10RB
3964	RPS6KA3
117	NMP200
4335	CRIP1
2432	KIAA0117
82	KIAA0117
3887	RARRES3
296	KIAA0801
2558	LCK
4482	DT1P1A10
51	GG2-1
200	CHN2
3727	MAPK13
937	POH1
45	NR3C2
1388	C6orf11
105	KIAA0779
5016	MCM3
3451	TRIM14
111	NASP
274	SLC25A12
5346	DLST
3540	SOS1
1029	HLA-DRB4
2795	SLC25A16
4319	HSRTSBETA
4266	HSRTSBETA
3208	PXMP3
3946
498	SMCX
3322	DMXL1
3126	DMXL1
3924	IGL
133	ELK1
1336	SAH
582	IKKE
1972	ARRB2
1061	FLJ21168
71	ZNF263
31	ZNF263
1253	INPP5B
82	RASGRP1
93	KIAA0116
107	MGC19570
1251	RBMS1
385	CDC2L2
3692	CDC2L2
235	ISG20
4138	SERPINB1
81	CGI-96
4151	GUSB
535	GCDH
174	C2orf3
27	TOX
46	CDK7
152	MBLL39
44	P5-1
1396	SFN
1938	SFN
2331
53	RAB21
1032
99	PIP3-E
234	ACYP1
82	DEGS
36	STAT1
75	STAT1
102	KIAA0438
476	GNB1
3005	RNUT1
90	RNF14
3375	KIF3C
101	TUBG1
68	RNF5
62	TCF12
3366
607	JM5
3964	GC20
219	H2BFQ
107	SMURF2
2508
141	NCKAP1
160	KIAA1157
1120	FBXL11
834	BSCL2
500	CDC42EP3
3120	JTV1
715	KIAA0945
327	OAZIN
3939	PRSS15
65	SC4MOL
116	SC4MOL
2343
3060	C2
60	IDN3
4448	POLS
1284	NCOA3
4592	ASAHL
3000	CAST
122	GAS7
2178	MGC32043
97	CYP51
432	DKFZP434J154
4566	DDX19
193	FLJ11126
747	GSTP1
236	CDIPT
95	ACN
1162
1053	DKFZP547E1010
5076	FKBP2
990	ITGA6
4233	LGALS1
626	PM5
3785	NME2
137	RAB3GAP
3628
1994	API5
111	SC5DL
77	SEC13L1
163	SEC13L1
188	RPN1
304	TRIM28
1283	ATRN
2135	DKFZP586M1523
68	MED8
61	DKFZP564F0522
60	BET1
703	BET1
3501	FTSJ1
254	WBP2
81	TCF8
371	TCF8
3264	TCTA
143	KIAA1253
1114	M17S2
1441	NPD009
175	MLCB
578	SPINT1
3518	RPL22
1181
1740	AGRN
225	ALDOB
225	MAPRE1
76	RAP140
189	H2BFL
104	LOC90355
2379	FHR-3
53	RNF2
1602	RPL4
2658	TXK
4393	HFL-EDDG1
4070	ETFDH
4297	GRM1
1780	ZNF80
180	SLAM
185	CAMK4
122	CRKL
952	KLRD1
3303	MEF-2
2754
3988	LAIR2
4144	PNN
3069	CCR6
4608	HYPE
16	ZNF165
1219	DNAM-1
2577
3083
68	CIAS1
262	TBXA2R
60	EDG6
1316	HTR1E
2144
2867	RPL18A
2758	ZNF46
3057	RPS13
137	DIM1
1273	DIM1
3286	GNA13
274	SIAT8D
1914	DDX27
2675	RPL37
4214	RPL34
807	ZNF124
1041	CFL1
2548	RPL5
1858	RPL5
1711	HNRPC
4117	PPIA
3612	RPL12
2268	RPL29
3127	RPL31
3306	RPL24
2648	TUBB2
4082	TUBB2
6123
3956	CG012
2203	DDT
1281
18	PDE4B
167	SART1
4543	PLA2G4C
3399	POV1
379	C3F
223	SULT4A1
189
3770	LOC58525
1527	LOC56902
108
2144	BRCA1
417	POLR2D
3568	ABCG2
38	DJ434O14.5
273	STOML1
1400	MTHFS
3196
652	C1orf2
37	ATP6V1H
1323	GEMIN4
53	HSGT1
361	HA-1
4636	TP53TG1
112	NS1-BP
2851	DAAM1
83	TITF1
3658	OSBPL3
151	PSG2
140	BPGM
48	PEX14
2810	KIAA0493
159	KIAA0493
1569
3406	CSDA
463	DMWD
2430	MPZL1
139	CHUK
2657	TA-LRRP
17	PTGER4
239	MLLT10
1969	CASP8
3566	CASP8
299	DKFZP566K023
121	C22orf4
3891	VAMP1
2124	VAMP1
2616	UBE2M
2798	TRAF2
4321	LYSAL1
4359	DLEU1
2720	TCF20
132	TCF20
114	ARL4
834	MPHOSPH10
48	SIAH2
201	ATF6
2177	ADCY9
2046	PTK2B
137	CAP350
270	FLJ22195
209	TRRAP
90	KIAA1254
209	ADAM19
63	TNFRSF1B
13	UMPS
653	MYO9B
435
104	VCP
236	LDHB
205	LDHB
400	HELO1
2601	NUMA1
4047	SCARB2
384	KRT8
1362	CIZ1
1329	CG005
5278	SMARCE1
1366	HSOBRGRP
74	CREBBP
1231	SPTAN1
134	KIAA0721
3851	CLN3
283	SRP72
359	BAT3
2237	ITPR2
2155	FLJ11560
638	RQCD1
3246	HNRPH1
98	CDKN1B
96	CDKN1B
111	PBEF
272	MAP4
4825	TIA1
26	ATP6V1D
289	GRB2
3774	CXX1
107	p47
2066	SAP18
128	RBAF600
83	CNOT2
923	HYOU1
147	BS69
3724	BS69
46	TPM4
161	RBMS1
101	DKFZP434G0310
297
132	C5orf7
60	TCFL1
1066	ATP6V0E
247	KIAA1067
437	SR-BP1
69	FACL3
59	FACL3
101	UBE4B
164	KIAA0907
170	SSH3BP1
229	HGS
4930	ACTR1B
45	DGCR2
964	CLIC4
474	KIAA0470
488	SH3YL1
646	PI4KII
3761	MCRS1
654	ALDH9A1
3302	SLC29A1
171	DAPK3
1236	MBD2
2285	SSSCA1
151	EIF4G3
1500	CAPN1
3526	SF3B4
335	ZMPSTE24
163	BAT2
141	FECH
84	FLJ23027
4773	NISCH
4555	HIRIP3
1959	DIAPH1
3603	PRDM2
463	KIAA1091
2823	GPC1
161	RA410
6163	GPX4
2149	GSPT1
137	SUSP1
1597	SIP
2076	GALC
1240	STXBP1
4299	FTH1
4458	APLP2
33	TNFSF5
861	ZNF306
142	MD-2
251	IFNW1
105	GFI1
129	ZNF43
2369	HSPCB
3536	HSPCB
4035	HSPCB
158	ARF1
4428	TEGT
4170	TEGT
